,Lat ,Long,Cluster_No.,distance_km,storelat,storelng
0,32.549009000000005,-83.15673699999999,1,0.9326488750452522,32.556786376146796,-83.1529583027523
1,32.553748,-83.16770600000001,1,0.9326488750452522,32.556786376146796,-83.1529583027523
2,32.553282,-83.155563,1,1.4254871361177268,32.556786376146796,-83.1529583027523
3,32.552285999999995,-83.15349599999999,1,0.45920887207747674,32.556786376146796,-83.1529583027523
4,32.553519,-83.154454,1,0.5016247486413741,32.556786376146796,-83.1529583027523
5,32.554932,-83.156428,1,0.38861815140066414,32.556786376146796,-83.1529583027523
6,32.555271000000005,-83.15628199999999,1,0.3853312545935404,32.556786376146796,-83.1529583027523
7,32.549065999999996,-83.175159,0,0.354517260290564,32.556786376146796,-83.1529583027523
8,32.548761999999996,-83.17537,0,1.378451016761532,32.54195193333333,-83.1871932
9,32.554590000000005,-83.15437800000001,1,1.3430047570672403,32.54195193333333,-83.1871932
10,32.554581,-83.17057,1,0.2776782279149369,32.556786376146796,-83.1529583027523
11,32.554938,-83.153859,1,1.672052644295611,32.556786376146796,-83.1529583027523
12,32.554404,-83.15162600000001,1,0.2217477703914958,32.556786376146796,-83.1529583027523
13,32.554716,-83.151984,1,0.29233091706772707,32.556786376146796,-83.1529583027523
14,32.555014,-83.152316,1,0.24716045704688017,32.556786376146796,-83.1529583027523
15,32.555603000000005,-83.17094300000001,1,0.20559933837194916,32.556786376146796,-83.1529583027523
16,32.555316,-83.152654,1,1.694182050743408,32.556786376146796,-83.1529583027523
17,32.556961,-83.15399000000001,1,0.1655453406653697,32.556786376146796,-83.1529583027523
18,32.555405,-83.15113000000001,1,0.09881069766616228,32.556786376146796,-83.1529583027523
19,32.555704,-83.15146700000001,1,0.2301127801188115,32.556786376146796,-83.1529583027523
20,32.556844,-83.15343,1,0.1844575376345112,32.556786376146796,-83.1529583027523
21,32.55892,-83.158929,1,0.04475920743431377,32.556786376146796,-83.1529583027523
22,32.557857,-83.154898,1,0.6086235148726866,32.556786376146796,-83.1529583027523
23,32.532509999999995,-83.172911,0,0.21744573786728508,32.556786376146796,-83.1529583027523
24,32.557109000000004,-83.153101,1,1.7018720047101819,32.54195193333333,-83.1871932
25,32.55475,-83.149302,1,0.038205558755323,32.556786376146796,-83.1529583027523
26,32.557516,-83.15375300000001,1,0.4109966115764297,32.556786376146796,-83.1529583027523
27,32.555147999999996,-83.149743,1,0.11007899744143214,32.556786376146796,-83.1529583027523
28,32.555543,-83.150182,1,0.3524218322452988,32.556786376146796,-83.1529583027523
29,32.555805,-83.150468,1,0.29495913485546993,32.556786376146796,-83.1529583027523
30,32.556062,-83.15075300000001,1,0.2579656696093908,32.556786376146796,-83.1529583027523
31,32.559442,-83.162675,1,0.22215037157576775,32.556786376146796,-83.1529583027523
32,32.556862,-83.172196,1,0.9588996617113136,32.556786376146796,-83.1529583027523
33,32.551047,-83.145685,1,1.8067781813086132,32.556786376146796,-83.1529583027523
34,32.557432,-83.152803,1,0.9336737985424761,32.556786376146796,-83.1529583027523
35,32.559436,-83.159335,1,0.07306805969157608,32.556786376146796,-83.1529583027523
36,32.532545,-83.17405600000001,0,0.6670762256073249,32.556786376146796,-83.1529583027523
37,32.555203999999996,-83.148958,1,1.6159245740948365,32.54195193333333,-83.1871932
38,32.558541,-83.154717,1,0.41466315927991615,32.556786376146796,-83.1529583027523
39,32.554146,-83.147547,1,0.2552324306398748,32.556786376146796,-83.1529583027523
40,32.555964,-83.14961,1,0.5865397540294526,32.556786376146796,-83.1529583027523
41,32.557675,-83.152425,1,0.3274235612838712,32.556786376146796,-83.1529583027523
42,32.557675,-83.152425,1,0.11054332804970743,32.556786376146796,-83.1529583027523
43,32.55533,-83.148627,1,0.11054332804970743,32.556786376146796,-83.1529583027523
44,32.558401,-83.170567,1,0.43767788037992716,32.556786376146796,-83.1529583027523
45,32.555384000000004,-83.175498,1,1.663418017342683,32.556786376146796,-83.1529583027523
46,32.558246000000004,-83.15304,1,1.8508060850348727,32.54195193333333,-83.1871932
47,32.550854,-83.144685,1,0.1620490863944267,32.556786376146796,-83.1529583027523
48,32.559583,-83.15668000000001,1,1.0181302387915858,32.556786376146796,-83.1529583027523
49,32.55852,-83.15333000000001,1,0.4672836612916686,32.556786376146796,-83.1529583027523
50,32.548384000000006,-83.143495,1,0.19539660358500938,32.556786376146796,-83.1529583027523
51,32.552026,-83.145152,1,1.2877222374047228,32.556786376146796,-83.1529583027523
52,32.557854999999996,-83.172501,1,0.903451757689245,32.556786376146796,-83.1529583027523
53,32.557944,-83.172395,1,1.8392153483114762,32.556786376146796,-83.1529583027523
54,32.554386,-83.146804,1,1.8299459385862882,32.556786376146796,-83.1529583027523
55,32.55965,-83.15577900000001,1,0.6363562039729843,32.556786376146796,-83.1529583027523
56,32.548543,-83.143152,1,0.4135518362793013,32.556786376146796,-83.1529583027523
57,32.558231,-83.151833,1,1.297683573529695,32.556786376146796,-83.1529583027523
58,32.558827,-83.152766,1,0.19192341183379336,32.556786376146796,-83.1529583027523
59,32.545698,-83.142335,3,0.2270178221275569,32.556786376146796,-83.1529583027523
60,32.553352000000004,-83.145374,1,1.5314751218601999,32.538143999999996,-83.12868644444444
61,32.559889,-83.155326,1,0.8077408582831461,32.556786376146796,-83.1529583027523
62,32.559646,-83.154584,1,0.4096713401149738,32.556786376146796,-83.1529583027523
63,32.559499,-83.15418000000001,1,0.35196266871286896,32.556786376146796,-83.1529583027523
64,32.559722,-83.154786,1,0.32195931207306266,32.556786376146796,-83.1529583027523
